Sample ID,Method,Dilut. Factor,NPOC vol. [ml],NPOCArea,NPOC [mg/l],TNbArea,TNb [mg/l],Coefficients,Date Time
WHI-B-8,NPOC/TNb - precise,1,0.25,129604,316.658,5210,19.843,Jake 16.01.25,16.01.2025 21:47
WHI-B-8,NPOC/TNb - precise,1,0.25,129655,316.784,5359,20.662,Jake 16.01.25,16.01.2025 21:52
WHI-B-9,NPOC/TNb - precise,1,0.25,135820,331.833,5552,21.751,Jake 16.01.25,16.01.2025 22:04
WHI-B-9,NPOC/TNb - precise,1,0.25,134303,328.128,5677,22.471,Jake 16.01.25,16.01.2025 22:09
WHI-B-9,NPOC/TNb - precise,1,0.25,134189,327.85,5481,21.345,Jake 16.01.25,16.01.2025 22:14
WHI-B-10,NPOC/TNb - precise,1,0.25,144904,354.008,5312,20.399,Jake 16.01.25,16.01.2025 22:26
WHI-B-10,NPOC/TNb - precise,1,0.25,145366,355.135,5282,20.237,Jake 16.01.25,16.01.2025 22:31
WHI-B-10,NPOC/TNb - precise,1,0.25,145803,356.203,5175,19.649,Jake 16.01.25,16.01.2025 22:36
WHI-H-1,NPOC/TNb - precise,1,0.25,170324,416.062,3498,11.676,Jake 16.01.25,16.01.2025 23:48
WHI-H-1,NPOC/TNb - precise,1,0.25,171015,417.751,3424,11.378,Jake 16.01.25,16.01.2025 23:52
WHI-H-1,NPOC/TNb - precise,1,0.25,170944,417.575,3430,11.401,Jake 16.01.25,16.01.2025 23:57
WHI-H-2,NPOC/TNb - precise,1,0.25,168108,410.653,4132,14.431,Jake 16.01.25,17.01.2025 00:08
WHI-H-2,NPOC/TNb - precise,1,0.25,169229,413.389,4101,14.288,Jake 16.01.25,17.01.2025 00:13
WHI-H-2,NPOC/TNb - precise,1,0.25,169845,414.894,4185,14.674,Jake 16.01.25,17.01.2025 00:17
WHI-H-3,NPOC/TNb - precise,1,0.25,300077,732.811,4002,13.842,Jake 16.01.25,17.01.2025 00:29
WHI-H-3,NPOC/TNb - precise,1,0.25,300916,734.86,3946,13.591,Jake 16.01.25,17.01.2025 00:33
WHI-H-3,NPOC/TNb - precise,1,0.25,302708,739.234,3957,13.637,Jake 16.01.25,17.01.2025 00:38
WHI-H-4,NPOC/TNb - precise,1,0.25,132620,324.022,2589,8.282,Jake 16.01.25,17.01.2025 00:49
WHI-H-4,NPOC/TNb - precise,1,0.25,132600,323.971,2589,8.283,Jake 16.01.25,17.01.2025 00:53
WHI-H-4,NPOC/TNb - precise,1,0.25,131761,321.924,2595,8.303,Jake 16.01.25,17.01.2025 00:58
WHI-H-5,NPOC/TNb - precise,1,0.25,189480,462.825,3054,9.936,Jake 16.01.25,17.01.2025 01:09
WHI-H-5,NPOC/TNb - precise,1,0.25,189550,462.996,3091,10.075,Jake 16.01.25,17.01.2025 01:13
WHI-H-5,NPOC/TNb - precise,1,0.25,190638,465.653,3103,10.122,Jake 16.01.25,17.01.2025 01:17
WHI-H-6,NPOC/TNb - precise,1,0.25,179667,438.871,3495,11.666,Jake 16.01.25,17.01.2025 01:29
WHI-H-6,NPOC/TNb - precise,1,0.25,179777,439.139,3395,11.26,Jake 16.01.25,17.01.2025 01:33
WHI-H-6,NPOC/TNb - precise,1,0.25,180839,441.732,3447,11.468,Jake 16.01.25,17.01.2025 01:37
WHI-H-7,NPOC/TNb - precise,1,0.25,153369,374.672,3990,13.786,Jake 16.01.25,17.01.2025 01:49
WHI-H-7,NPOC/TNb - precise,1,0.25,154775,378.104,4051,14.06,Jake 16.01.25,17.01.2025 01:53
WHI-H-7,NPOC/TNb - precise,1,0.25,155450,379.753,4057,14.089,Jake 16.01.25,17.01.2025 01:58
WHI-H-8,NPOC/TNb - precise,1,0.25,127500,311.523,2893,9.346,Jake 16.01.25,17.01.2025 02:09
WHI-H-8,NPOC/TNb - precise,1,0.25,128255,313.365,2879,9.296,Jake 16.01.25,17.01.2025 02:13
WHI-H-8,NPOC/TNb - precise,1,0.25,128266,313.392,2843,9.164,Jake 16.01.25,17.01.2025 02:17
WHI-H-9,NPOC/TNb - precise,1,0.25,184979,451.838,3133,10.236,Jake 16.01.25,17.01.2025 02:28
WHI-H-9,NPOC/TNb - precise,1,0.25,189235,462.227,3125,10.205,Jake 16.01.25,17.01.2025 02:32
WHI-H-9,NPOC/TNb - precise,1,0.25,188209,459.722,3112,10.158,Jake 16.01.25,17.01.2025 02:37
WHI-H-10,NPOC/TNb - precise,1,0.25,131942,322.365,3685,12.454,Jake 16.01.25,17.01.2025 02:48
WHI-H-10,NPOC/TNb - precise,1,0.25,133066,325.11,3671,12.397,Jake 16.01.25,17.01.2025 02:52
WHI-H-10,NPOC/TNb - precise,1,0.25,131682,321.731,3605,12.121,Jake 16.01.25,17.01.2025 02:57
HAW-B-1,NPOC/TNb - precise,1,0.25,122262,298.734,4757,17.454,Jake 16.01.25,17.01.2025 04:10
HAW-B-1,NPOC/TNb - precise,1,0.25,124728,304.756,4848,17.922,Jake 16.01.25,17.01.2025 04:14
HAW-B-1,NPOC/TNb - precise,1,0.25,123217,301.067,4818,17.769,Jake 16.01.25,17.01.2025 04:20
HAW-B-2,NPOC/TNb - precise,1,0.25,129208,315.691,5397,20.872,Jake 16.01.25,17.01.2025 04:32
HAW-B-2,NPOC/TNb - precise,1,0.25,129915,317.417,5486,21.373,Jake 16.01.25,17.01.2025 04:36
HAW-B-2,NPOC/TNb - precise,1,0.25,128823,314.751,5279,20.222,Jake 16.01.25,17.01.2025 04:42
HAW-B-3,NPOC/TNb - precise,1,0.25,203458,496.948,6112,25.073,Jake 16.01.25,17.01.2025 04:54
HAW-B-3,NPOC/TNb - precise,1,0.25,203608,497.313,6336,26.477,Jake 16.01.25,17.01.2025 04:59
HAW-B-3,NPOC/TNb - precise,1,0.25,203800,497.783,6224,25.768,Jake 16.01.25,17.01.2025 05:05
HAW-B-4,NPOC/TNb - precise,1,0.25,335196,818.542,9995,54.945,Jake 16.01.25,17.01.2025 05:19
HAW-B-4,NPOC/TNb - precise,1,0.25,335438,819.132,9930,54.351,Jake 16.01.25,17.01.2025 05:25
HAW-B-4,NPOC/TNb - precise,1,0.25,335941,820.361,9907,54.14,Jake 16.01.25,17.01.2025 05:32
HAW-B-5,NPOC/TNb - precise,2,0.25,136359,665.196,7874,74.051,Jake 16.01.25,17.01.2025 05:45
HAW-B-5,NPOC/TNb - precise,2,0.25,136256,664.693,7988,75.772,Jake 16.01.25,17.01.2025 05:51
HAW-B-5,NPOC/TNb - precise,2,0.25,137300,669.788,7727,71.855,Jake 16.01.25,17.01.2025 05:56
HAW-B-6,NPOC/TNb - precise,1,0.25,241448,589.689,7999,38.103,Jake 16.01.25,17.01.2025 06:10
HAW-B-6,NPOC/TNb - precise,1,0.25,242796,592.979,8034,38.375,Jake 16.01.25,17.01.2025 06:15
HAW-B-6,NPOC/TNb - precise,1,0.25,243785,595.393,8178,39.488,Jake 16.01.25,17.01.2025 06:21
HAW-B-7,NPOC/TNb - precise,1,0.25,195525,477.582,8820,44.649,Jake 16.01.25,17.01.2025 06:35
HAW-B-7,NPOC/TNb - precise,1,0.25,197670,482.818,8927,45.545,Jake 16.01.25,17.01.2025 06:40
HAW-B-7,NPOC/TNb - precise,1,0.25,197754,483.023,8926,45.534,Jake 16.01.25,17.01.2025 06:46
HAW-B-8,NPOC/TNb - precise,1,0.25,129433,316.24,4708,17.209,Jake 16.01.25,17.01.2025 06:58
HAW-B-8,NPOC/TNb - precise,1,0.25,130280,318.307,4597,16.653,Jake 16.01.25,17.01.2025 07:02
HAW-B-8,NPOC/TNb - precise,1,0.25,127989,312.717,4615,16.743,Jake 16.01.25,17.01.2025 07:07
HAW-B-9,NPOC/TNb - precise,1,0.25,226240,552.562,6465,27.298,Jake 16.01.25,17.01.2025 07:19
HAW-B-9,NPOC/TNb - precise,1,0.25,228573,558.258,6639,28.429,Jake 16.01.25,17.01.2025 07:24
HAW-B-9,NPOC/TNb - precise,1,0.25,227547,555.752,6511,27.597,Jake 16.01.25,17.01.2025 07:29
HAW-B-10,NPOC/TNb - precise,1,0.25,148137,361.9,4983,18.627,Jake 16.01.25,17.01.2025 07:41
HAW-B-10,NPOC/TNb - precise,1,0.25,150115,366.73,5067,19.07,Jake 16.01.25,17.01.2025 07:45
HAW-B-10,NPOC/TNb - precise,1,0.25,148988,363.979,4955,18.478,Jake 16.01.25,17.01.2025 07:50
