"Sample ID","log_alpha","y0","yf","alpha","Site","Vegetation"
"HAW-H-6",-4.47133545323014,31.9815406958139,-0.0991997449828568,0.0114320386988079,"Haweswater","Heather"
"HAW-H-7",-4.44194695937995,50.0311837346169,-0.125749257435445,0.0117729946492448,"Haweswater","Heather"
"HAW-H-8",-4.3079090712264,34.2750994025303,-0.0510270701525546,0.0134616675757275,"Haweswater","Heather"
"HAW-H-9",-4.38292527175942,33.2589461118349,-0.0697485461477884,0.0124887720820981,"Haweswater","Heather"
"SWM-B-1",-4.57967364422265,14.8754346366137,-0.0844815860621943,0.0102582435872306,"Scarth Wood","Bracken"
"SWM-B-10",-4.87107780824772,25.332453727778,-0.448814861416363,0.00766509932686114,"Scarth Wood","Bracken"
"SWM-B-2",-4.58055725387792,20.567131119008,-0.115651686990252,0.0102491833076156,"Scarth Wood","Bracken"
"SWM-B-3",-4.5529687254391,22.3799854596094,-0.104139620126941,0.0105358797754652,"Scarth Wood","Bracken"
"SWM-B-4",-4.63719408951833,21.2507577667439,-0.138986223489119,0.00968483431629513,"Scarth Wood","Bracken"
"SWM-B-5",-4.78964281433193,17.6853339608439,-0.197781241189849,0.00831542700288786,"Scarth Wood","Bracken"
"SWM-B-6",-4.66223678872465,31.2799714483966,-0.211114665112374,0.00944531158911591,"Scarth Wood","Bracken"
"SWM-B-7",-4.71308604058791,32.0623805078325,-0.319349142344321,0.00897703130841644,"Scarth Wood","Bracken"
"SWM-B-8",-4.64252201659984,32.144635310571,-0.191691981428585,0.00963337144222046,"Scarth Wood","Bracken"
"SWM-B-9",-5.14919428867347,18.6028785298339,-0.82222790420921,0.0058040792558253,"Scarth Wood","Bracken"
"SWM-H-1",-4.59129516035601,7.55573181970338,-0.0497771234774765,0.0101397173054364,"Scarth Wood","Heather"
"SWM-H-10",-4.73742852991541,26.0733741332731,-0.214980234731502,0.00876114626946711,"Scarth Wood","Heather"
"SWM-H-2",-4.70691417280395,28.2964524560642,-0.221131269689536,0.00903260768735822,"Scarth Wood","Heather"
"SWM-H-3",-4.7646158142861,25.179049106029,-0.242838086505035,0.00852616324336856,"Scarth Wood","Heather"
"SWM-H-4",-4.68166384455793,29.0492355070994,-0.213075137923898,0.00926358788709755,"Scarth Wood","Heather"
"SWM-H-5",-4.61283153322901,29.2628778275777,-0.154653476544728,0.00992367926074472,"Scarth Wood","Heather"
"SWM-H-6",-4.63635841168513,28.3026545404278,-0.16332431762882,0.00969293110033174,"Scarth Wood","Heather"
"SWM-H-7",-4.77302872572596,30.0841050340776,-0.307255174718583,0.008454734271183,"Scarth Wood","Heather"
"SWM-H-8",-5.8993519474124,11.270185107007,-3.14286626402105,0.00274122069844132,"Scarth Wood","Heather"
"SWM-H-9",-4.76266220386187,19.179844342582,-0.165412013270266,0.0085428363258105,"Scarth Wood","Heather"
"WDY-B-1",-4.5348387662807,17.3816154961032,-0.083460689216224,0.0107286369050996,"Widdybanks","Bracken"
"WDY-B-10",-4.47337735804035,25.3472318148934,-0.0837974056944029,0.0114087193800152,"Widdybanks","Bracken"
"WDY-B-2",-4.71730155115006,31.8950857193979,-0.300457840024056,0.00893926818945497,"Widdybanks","Bracken"
"WDY-B-3",-4.57969931926695,13.6768543339365,-0.0806155529586712,0.0102579802097532,"Widdybanks","Bracken"
"WDY-B-4",-4.54401420962025,10.852737244078,-0.0565882839221113,0.0106306471422932,"Widdybanks","Bracken"
"WDY-B-5",-4.55250134109301,27.7432967771529,-0.12216775901395,0.0105408052316955,"Widdybanks","Bracken"
"WDY-B-6",-4.50400094731986,18.1301822952843,-0.0653856204378627,0.011064638823927,"Widdybanks","Bracken"
"WDY-B-7",-4.59338045540773,8.7691395788153,-0.0558632815391598,0.0101185950338519,"Widdybanks","Bracken"
"WDY-B-8",-4.57875474535909,13.3038169446782,-0.0765359447194964,0.0102676742078347,"Widdybanks","Bracken"
"WDY-B-9",-4.62303240402395,38.3549503680479,-0.260015056602768,0.00982296365757477,"Widdybanks","Bracken"
"WDY-H-1",-4.5964045685568,11.335295654285,-0.0695579889376373,0.0100880414795476,"Widdybanks","Heather"
"WDY-H-10",-4.64515314598819,5.49561864082837,-0.0420529749043277,0.00960805811143758,"Widdybanks","Heather"
"WDY-H-2",-4.65437756296339,26.3850848624074,-0.174889165610296,0.00951983689728851,"Widdybanks","Heather"
"WDY-H-3",-4.38466433729922,4.04904538764326,-0.0086348608203311,0.0124670721631952,"Widdybanks","Heather"
"WDY-H-4",-4.56026154763034,6.62490443545595,-0.033479649730662,0.0104593229745103,"Widdybanks","Heather"
"WDY-H-5",-4.59770463971974,14.3732353809015,-0.0938992021940914,0.0100749348293645,"Widdybanks","Heather"
"WDY-H-6",-4.75855807208124,7.07788334571341,-0.0920626954325863,0.00857796929773063,"Widdybanks","Heather"
"WDY-H-7",-4.42120787461646,22.1100202421485,-0.0477345007280815,0.0120197052162234,"Widdybanks","Heather"
"WDY-H-8",-4.57989627521667,40.1909144536587,-0.198944072857954,0.0102559600384677,"Widdybanks","Heather"
"WDY-H-9",-4.6175292027322,36.6691247571308,-0.207751471969776,0.00987717042242792,"Widdybanks","Heather"
"WHI-B-1",-4.33320611960563,32.5277901035026,-0.0484101558000594,0.0131253983615923,"Whiteside","Bracken"
"WHI-B-10",-4.47548726827852,15.7626065522287,-0.0629400999860973,0.0113846733825595,"Whiteside","Bracken"
"WHI-B-2",-4.68385490625868,5.31479405385711,-0.0841846792256692,0.00924331301432645,"Whiteside","Bracken"
"WHI-B-3",-4.52790117443704,12.4791660650853,-0.0850790094729712,0.010803326592701,"Whiteside","Bracken"
"WHI-B-4",-4.50183254565605,16.0081233351809,-0.0663046358600263,0.011088657436751,"Whiteside","Bracken"
"WHI-B-5",-4.44120892106473,30.9603788691665,-0.0828398626113793,0.0117816867775482,"Whiteside","Bracken"
"WHI-B-6",-4.39887124703779,43.5995289334857,-0.0856058566733595,0.0122912058109722,"Whiteside","Bracken"
"WHI-B-7",-4.43911815237574,20.7851120609671,-0.0690193419023958,0.0118063453280463,"Whiteside","Bracken"
"WHI-B-8",-4.4976595946975,17.5319236480914,-0.0803737793860657,0.0111350265411427,"Whiteside","Bracken"
"WHI-B-9",-4.47267780359944,17.6115421814512,-0.0467645788691431,0.0114167031925528,"Whiteside","Bracken"
"WHI-H-1",-4.56660519307606,19.0173509716182,-0.0659609434370734,0.0103931827448414,"Whiteside","Heather"
"WHI-H-10",-4.68617336587563,5.8137986151952,-0.0763917757115023,0.00922190758977047,"Whiteside","Heather"
"WHI-H-2",-4.55111185782152,14.4840360602699,-0.0763492707099427,0.0105554616843228,"Whiteside","Heather"
"WHI-H-3",-4.47145135269932,35.9866515961378,-0.105371815606553,0.0114307138083697,"Whiteside","Heather"
"WHI-H-4",-4.5720867511552,14.1258752146503,-0.0807555490266384,0.0103363677695539,"Whiteside","Heather"
"WHI-H-5",-4.57971111690615,15.6135284933176,-0.0693408963335642,0.0102578591905176,"Whiteside","Heather"
"WHI-H-6",-4.54144268833564,21.7288927083252,-0.0989369448227814,0.0106580192565924,"Whiteside","Heather"
"WHI-H-7",-4.56172206259235,13.2780365907899,-0.071435669560494,0.0104440581267963,"Whiteside","Heather"
"WHI-H-8",-4.54601460755157,14.1985863647015,-0.0706365660850598,0.0106094028733212,"Whiteside","Heather"
"WHI-H-9",-4.58700561269913,17.3113573484211,-0.0999573858352308,0.0101833055260842,"Whiteside","Heather"
