Sample ID,Site,Vegetation,Mesostigmata,Oribatida,Astigmatina,Prostigmata,Symphypleona,Entomobryomorpha,Poduromorpha,Neelidae,Araneae,Enchytraeidae,Thysanoptera,Diptera,Stigmus,Chilopoda,Diplopoda,Staphylinidae,Tingidae,Lasius flavus,Coleoptera,Diplura,Parasitoid Wasp,Pseudoscorpiones,Oniscidea,Unknown
WHI H 4,Whiteside,Heather,9,81,33,37,4,143,56,4,,2,,3,,,,,,,,,,,,
WHI H 5,Whiteside,Heather,6,98,48,12,3,19,7,2,,1,,1,,1,,,,,,,,,,3
BHM B 1,Brimham Moor,Bracken,14,335,180,36,,4,3,,,3,,,,,,,,,,,,,,
WDY B 1,Widdybanks,Bracken,18,21,44,22,1,22,26,5,,5,,,,1,,1,,,,,,,,1
WDY B 2,Widdybanks,Bracken,9,179,67,17,,19,22,1,,1,,,,1,,1,,,,,,,,
WDY B 3,Widdybanks,Bracken,18,89,33,24,,36,18,3,2,4,,,,10,,,,,,,,,,
WDY B 6,Widdybanks,Bracken,11,72,30,12,,29,7,,,,,,,1,,,,,,,,,,7
WDY B 7,Widdybanks,Bracken,12,102,173,70,,30,2,2,,2,,,,,,,,,,,,,,3
WDY H 1 ,Widdybanks,Heather,28,355,62,153,2,7,6,,,2,,,,,,,,,,,,,,
WDY H 2,Widdybanks,Heather,17,184,28,78,1,87,12,1,,1,,,,1,,1,,1,,,,,,
WDY H 4,Widdybanks,Heather,12,49,21,34,1,10,12,5,,,,,,,,,,,,,,,,1
WDY H 5,Widdybanks,Heather,20,79,31,35,,56,14,5,,11,,,,,,,,,,,,,,1
WDY H 7,Widdybanks,Heather,9,172,60,67,,29,20,4,,,,,,,,,,,,,,,,1
BHM B 4,Brimham Moor,Bracken,2,27,4,7,,,1,1,,,,,,,,,,,,,,,,1
BHM B 2,Brimham Moor,Bracken,36,207,92,61,,21,9,2,,2,,1,,,,,,,,,,,,8
BHM B 6,Brimham Moor,Bracken,16,189,37,26,1,10,,,,1,,,,1,2,,1,,,,,,,
BHM B 10,Brimham Moor,Bracken,24,127,142,40,,14,6,,,,,,,,1,1,,,,,,,,
BHM H 2,Brimham Moor,Heather,5,114,33,29,,3,3,,,1,,,,,,1,1,,,,,,,
BHM H 6,Brimham Moor,Heather,4,118,44,17,1,5,4,,,5,,,,,,,,,,1,,,,1
BHM H 7,Brimham Moor,Heather,3,89,35,37,,2,6,,1,,,,,,,,,,,,,,,
BHM H 8,Brimham Moor,Heather,7,117,24,40,1,13,18,4,,,,,,,1,,,,,,,,,3
BHM H 10,Brimham Moor,Heather,15,89,34,34,,9,15,2,,4,,,,1,,,,,,5,,,,1
BRI B 1,Bridestones,Bracken,8,170,41,38,,5,1,,,,,,,,,,,,,,,,,
BRI B 2,Bridestones,Bracken,22,216,94,22,1,5,53,1,,,,,,,,4,,,,,,,,3
BRI B 3,Bridestones,Bracken,11,112,75,43,,,,,,1,,,,1,,1,,,,,,,,1
BRI B 4,Bridestones,Bracken,13,122,86,72,,18,7,,,3,,,,,,1,,,,,,,,1
BRI B 5,Bridestones,Bracken,6,73,52,20,,38,3,,,1,,1,,,,,,,,,,,,
BRI H 1,Bridestones,Heather,93,187,77,39,,,24,4,,9,,2,,,,,,,,,,,,
BRI H 2,Bridestones,Heather,11,258,72,18,2,10,21,,,10,,,,,1,1,,,,,,,,3
BRI H 3,Bridestones,Heather,10,283,45,20,,10,7,4,,,,,,,,,,,,2,,,,8
BRI H 4,Bridestones,Heather,13,147,73,17,,7,6,2,,6,,,,,,,,,,,,,,
BRI H 5,Bridestones,Heather,43,155,64,35,8,2,141,2,,2,,,,,,,,,,,,,,1
SWM B 1,Scarth Wood Moor,Bracken,3,24,11,40,,4,1,,,,,,,,,,,,,,,,,
SWM B 2,Scarth Wood Moor,Bracken,18,100,14,14,,8,2,,,2,,,,,,,,,,1,,,,1
SWM B 3,Scarth Wood Moor,Bracken,22,81,22,16,,1,14,3,,,,,,1,2,,,,,7,,,,2
SWM B 6,Scarth Wood Moor,Bracken,6,51,5,8,,1,,,,20,,,,,2,,,,,,,,,
SWM B 7,Scarth Wood Moor,Bracken,19,174,133,13,,5,17,,,30,,,,,3,,,,,,,,,2
SWM H 1,Scarth Wood Moor,Heather,5,35,52,14,2,18,1,1,,4,,,,,,,,,1,,,,,5
SWM H 2,Scarth Wood Moor,Heather,2,33,33,6,,4,5,,1,11,,2,,,,,,,1,,,,,
SWM H 3,Scarth Wood Moor,Heather,9,31,20,6,3,25,9,,1,22,,,,,,,,,,,,,,1
SWM H 4,Scarth Wood Moor,Heather,13,309,118,29,,1,9,,,2,,,,1,,,,,,,,,,5
SWM H 10,Scarth Wood Moor,Heather,2,43,49,6,,1,5,,,,,1,,,,,,,,,,,,
HAW H 6,Haweswater,Heather,7,27,63,29,5,358,63,3,,,,,,,,,,,,,,,,1
HAW B 3,Haweswater,Bracken,5,17,10,18,1,2,1,,,,,3,,,,1,,,,1,,,,2
HAW B 4,Haweswater,Bracken,10,139,28,10,,8,1,4,,2,,,,1,,1,,,,,,,,
HAW B 5,Haweswater,Bracken,15,88,40,10,2,14,,5,4,,,1,,1,,,,,,,1,,,
HAW B 8,Haweswater,Bracken,20,125,60,21,1,21,10,3,1,1,,2,,,,1,,2,,,,,,1
HAW B 10,Haweswater,Bracken,10,152,65,51,,10,1,5,1,2,,2,,,,,,,,,,,,1
HAW H 7,Haweswater,Heather,4,149,51,18,,31,26,3,1,2,,1,,,1,,,,,,,1,,
HAW H 8,Haweswater,Heather,7,110,47,20,,38,29,4,3,,,,,,,,,,,,,,,
HAW H 9,Haweswater,Heather,12,159,42,10,2,11,27,2,,,,,,1,,1,,,,,,,,2
HAW H 10,Haweswater,Heather,14,40,68,16,,29,169,1,,,,1,,,,,,,,,,,,1
BRI-B-6,Bridestones,Bracken,9,102,70,19,,13,3,1,,,,1,,,,,,,,,,,,
BRI-B-7,Bridestones,Bracken,8,227,31,10,2,16,3,1,1,,,,,,,,,,,,,,,
BRI-B-8,Bridestones,Bracken,8,34,8,5,,10,,1,,,,1,,1,,,,,,1,,,,1
BRI-B-9,Bridestones,Bracken,17,107,73,20,1,8,10,3,,,,,,,,,,,,,,,,
BRI-B-10,Bridestones,Bracken,1,65,6,10,,,3,,,,,,,,,,,,,,,,,
BRI-H-6,Bridestones,Heather,37,184,87,42,,7,40,5,,3,,,,,,,,,,1,,,2,6
BRI-H-7,Bridestones,Heather,6,141,48,17,,10,11,,,7,,,,1,,,,,,,,,,
BRI-H-8,Bridestones,Heather,9,452,212,53,,7,11,2,,15,,1,,,,,,,,6,,,,1
BRI-H-9,Bridestones,Heather,20,248,142,32,1,21,29,6,1,1,,,,,,,,,,,,,,1
BRI-H-10,Bridestones,Heather,7,83,76,7,3,2,,,,,,,,,,,,,,,,,,1
WHI-B-6,Whiteside,Bracken,9,49,34,11,,9,3,3,,5,,2,,,,,,,1,,,,,
WHI-B-7,Whiteside,Bracken,13,60,18,4,2,6,,1,,2,,2,,,,,,,,,,,,
WHI-B-8,Whiteside,Bracken,20,45,14,6,,21,4,2,,1,,4,,,,,,,,,,,,1
WHI-B-9,Whiteside,Bracken,30,186,28,26,4,69,11,1,,3,,,,,,,,,,,1,,,
WHI-B-10,Whiteside,Bracken,13,28,6,16,2,14,23,6,,2,,1,,2,,,,,1,,,,,1
WHI-H-6,Whiteside,Heather,18,60,27,8,,48,24,1,,1,,4,,,1,,,,,,,,,1
WHI-H-7,Whiteside,Heather,5,11,10,1,5,91,25,,1,1,,1,,,,,,,,,,,,2
WHI-H-8,Whiteside,Heather,11,103,34,7,1,20,20,4,,2,,1,,,,,,,,,,,,3
WHI-H-9,Whiteside,Heather,23,113,20,17,,31,20,2,,1,1,1,,,,,,,,,,,,2
WHI-H-10,Whiteside,Heather,12,29,20,5,3,10,16,3,,3,1,2,,,,,,,,,,,,1
BHM-B-3,Brimham Moor,Bracken,3,95,15,5,,,,,,2,,,,,,,,,,,,,,
BHM-B-5,Brimham Moor,Bracken,9,144,48,25,,11,2,,,4,,,,1,1,,,,,,,,,1
BHM-H-3,Brimham Moor,Heather,,56,8,,,1,,,,9,,,,,,,,,,,,,,
BHM-B-7,Brimham Moor,Bracken,32,261,469,23,,16,6,1,,2,,,,,1,,,,,1,,,,4
BHM-B-8,Brimham Moor,Bracken,9,196,66,19,1,8,6,1,,4,,,,,1,,,,,2,,,,1
BHM-B-9,Brimham Moor,Bracken,23,283,134,30,,4,8,,,7,,,,,,,,,,3,,,,5
BHM-H-1,Brimham Moor,Heather,23,108,30,15,3,2,31,4,,3,,,,,,,,,,,1,,1,1
BHM-H-5,Brimham Moor,Heather,6,172,56,26,,9,3,,,3,,,,1,,,1,,,,,,,
BHM-H-4,Brimham Moor,Heather,13,136,64,129,1,13,16,2,,9,,,,,,,,,,,,1,,6
BHM-H-9,Brimham Moor,Heather,18,160,55,62,,24,11,,,10,,,,,,2,,,,5,,,,3
SWM-B-4,Scarth Wood Moor,Bracken,6,46,18,19,,5,2,,,4,,,,,,,,,,7,,,,2
SWM-B-5,Scarth Wood Moor,Bracken,4,43,247,8,,6,3,,,2,,,,,2,,,,,1,,,,3
SWM-B-8,Scarth Wood Moor,Bracken,11,91,12,112,,5,3,,,9,,,,,1,,,,,2,,,,
SWM-B-9,Scarth Wood Moor,Bracken,11,43,341,10,,1,1,,,5,,,,,,,,,,,,,,2
SWM-B-10,Scarth Wood Moor,Bracken,2,6,8,4,,1,,,,5,,,,,,,,,,,,,,1
SWM-H-8,Scarth Wood Moor,Heather,14,35,11,8,,21,16,1,,33,,1,,,,,,,,,,,,2
SWM-H-9,Scarth Wood Moor,Heather,14,64,27,12,,20,5,,1,2,,,,,,,,,,,,,,6
SWM-H-5,Scarth Wood Moor,Heather,9,141,22,7,,17,5,,,1,,,,,,,,,1,,,,,4
SWM-H-6,Scarth Wood Moor,Heather,12,113,19,6,,12,2,,,28,,,,,,,,,,,,,,13
SWM-H-7,Scarth Wood Moor,Heather,36,53,68,18,,13,61,,,6,,,,,,,,,,,,,,2
WDY-B-4,Widdybanks,Bracken,14,83,73,40,,89,17,8,1,3,1,,,,,,,,,,,,,1
WDY-B-5,Widdybanks,Bracken,13,104,59,28,,13,18,2,,1,,,,,,,,,,,,,,1
WDY-B-8,Widdybanks,Bracken,21,157,99,46,,107,30,5,2,13,,,,,,,,1,,,,,,3
WDY-B-9,Widdybanks,Bracken,33,317,151,90,,60,42,17,2,2,,,,,,,,1,,,,,,2
WDY-B-10,Widdybanks,Bracken,24,135,47,21,,56,30,7,,2,,,,,,,,,,,,,,3
WDY-H-3,Widdybanks,Heather,13,185,57,37,,22,9,2,,,1,,,,,,,,,,,,,1
WDY-H-9,Widdybanks,Heather,10,48,6,7,,5,3,2,,9,,,,15,,,,,,,,,,
WDY-H-10,Widdybanks,Heather,6,42,15,9,,3,,,,1,,,,1,,,,,,,,,,1
WDY-H-8,Widdybanks,Heather,9,178,58,24,,35,11,7,,25,,,,,1,,,,,,,1,,2
WDY-H-6,Widdybanks,Heather,22,228,109,34,,34,12,3,1,,,,,,,,,,,,,,,6
