Sample ID,Site,Vegetation,Datafile,Date,Time,Type,Weight (mg),N (%),C (%),Drift Corr N (%),Drift Corr C (%),Drift Corr N (mg),Drift Corr C (mg),Drift Corr N (g per kg),Drift Corr C (g per kg),CN ratio
BHM-H-9,Brimham Moor,Heath,mp20250312_30,12/03/2025,12:34,UNK,6.952,0.587780893,16.04255486,0.555845562,15.69135268,0.038642383,1.090862838,5.558455617,156.9135268,28.22969861
BHM-H-10,Brimham Moor,Heath,mp20250312_31,12/03/2025,12:39,UNK,8.978,0.246900111,6.475774765,0.233307765,6.329432568,0.020946371,0.568256456,2.333077653,63.29432568,27.12911231
WDY-B-1,Widdybanks,Bracken,mp20250312_35,12/03/2025,12:58,UNK,10.883,0.824142098,12.53914928,0.77735204,12.2445427,0.084599222,1.332573582,7.773520395,122.445427,15.75160555
WDY-B-2,Widdybanks,Bracken,mp20250312_36,12/03/2025,13:03,UNK,11.126,0.907968283,16.74428749,0.856159682,16.35948387,0.095256326,1.820156175,8.561596822,163.5948387,19.10798209
WDY-B-3,Widdybanks,Bracken,mp20250312_37,12/03/2025,13:07,UNK,11.994,0.788150311,11.08772087,0.742953483,10.83861527,0.089109841,1.299983515,7.429534834,108.3861527,14.58855166
WDY-B-4,Widdybanks,Bracken,mp20250312_38,12/03/2025,13:12,UNK,11.16,0.78564018,9.798070908,0.74036306,9.582984179,0.082624518,1.069461034,7.403630603,95.82984179,12.94362819
WDY-B-5,Widdybanks,Bracken,mp20250312_39,12/03/2025,13:17,UNK,12.773,1.130623698,19.02414894,1.065142475,18.61633756,0.136050648,2.377864797,10.65142475,186.1633756,17.477791
WDY-B-6,Widdybanks,Bracken,mp20250312_40,12/03/2025,13:22,UNK,10.081,0.57009685,7.870886803,0.536916618,7.706224212,0.054126564,0.776864463,5.369166178,77.06224212,14.35273925
WDY-B-7,Widdybanks,Bracken,mp20250312_41,12/03/2025,13:26,UNK,10.676,0.454367161,5.872834682,0.427793071,5.753005172,0.045671188,0.614190832,4.277930712,57.53005172,13.44810274
WDY-B-8,Widdybanks,Bracken,mp20250312_42,12/03/2025,13:31,UNK,14.103,0.730986238,11.09513187,0.688025737,10.87448355,0.09703227,1.533628415,6.880257373,108.7448355,15.80534413
WDY-B-9,Widdybanks,Bracken,mp20250312_43,12/03/2025,13:36,UNK,11.179,1.227470517,20.74287796,1.154982204,20.34110276,0.129115461,2.273931878,11.54982204,203.4110276,17.61161574
WDY-B-10,Widdybanks,Bracken,mp20250312_44,12/03/2025,13:41,UNK,10.696,1.068368196,14.47812271,1.004971872,14.20519424,0.107491791,1.519387576,10.04971872,142.0519424,14.13491724
WDY-H-1,Widdybanks,Heath,mp20250312_48,12/03/2025,14:00,UNK,13.568,0.334544182,4.610981941,0.314489725,4.530961822,0.042669966,0.6147609,3.144897253,45.30961822,14.40734453
WDY-H-2,Widdybanks,Heath,mp20250312_49,12/03/2025,14:04,UNK,10.187,0.339173496,6.714648724,0.318828613,6.601206123,0.032479071,0.672464868,3.188286131,66.01206123,20.70455992
WDY-H-3,Widdybanks,Heath,mp20250312_50,12/03/2025,14:09,UNK,10.744,0.536552489,6.929218769,0.504347657,6.815337009,0.054187112,0.732239808,5.043476572,68.15337009,13.51317273
WDY-H-4,Widdybanks,Heath,mp20250312_51,12/03/2025,14:14,UNK,10.293,0.659772933,9.610136032,0.620147045,9.456615901,0.063831735,0.973369475,6.201470455,94.56615901,15.24898969
WDY-H-5,Widdybanks,Heath,mp20250312_52,12/03/2025,14:19,UNK,14.998,0.668102443,11.55666733,0.627950822,11.37737624,0.094180064,1.706378888,6.279508216,113.7737624,18.11825998
WDY-H-6,Widdybanks,Heath,mp20250312_53,12/03/2025,14:23,UNK,12.383,0.584080338,9.165229797,0.548955993,9.027265502,0.067977221,1.117846287,5.48955993,90.27265502,16.44442472
WDY-H-7,Widdybanks,Heath,mp20250312_54,12/03/2025,14:28,UNK,5.932,2.078287363,41.9088707,1.953228051,41.29735731,0.115865488,2.449759236,19.53228051,412.9735731,21.14313139
WDY-H-8,Widdybanks,Heath,mp20250312_55,12/03/2025,14:33,UNK,6.515,1.216737747,22.09314537,1.143475116,21.78097993,0.074497404,1.419030842,11.43475116,217.8097993,19.04805765
WDY-H-9,Widdybanks,Heath,mp20250312_56,12/03/2025,14:38,UNK,7.03,1.097738266,22.54607201,1.031599156,22.23793171,0.072521421,1.563326599,10.31599156,222.3793171,21.5567564
WDY-H-10,Widdybanks,Heath,mp20250312_57,12/03/2025,14:42,UNK,11.36,0.592395544,8.428139687,0.556680872,8.316851342,0.063238947,0.944794312,5.566808724,83.16851342,14.94007025
HAW-B-1,Haweswater,Bracken,mp20250313_09,13/03/2025,12:28,UNK,9.848,1.01765275,15.02796745,1.012984229,15.00911986,0.099758687,1.478098124,10.12984229,150.0911986,14.81673597
HAW-B-2,Haweswater,Bracken,mp20250313_10,13/03/2025,12:33,UNK,6.608,1.315750241,22.50351906,1.306716884,22.46121268,0.086347852,1.484236934,13.06716884,224.6121268,17.18904298
HAW-B-3,Haweswater,Bracken,mp20250313_11,13/03/2025,12:38,UNK,9.976,1.031837344,16.07476807,1.022413464,16.03449896,0.101995967,1.599601617,10.22413464,160.3449896,15.68298885
HAW-B-4,Haweswater,Bracken,mp20250313_12,13/03/2025,12:43,UNK,6.198,1.9028548,34.5107193,1.881180654,34.40272043,0.116595577,2.132280612,18.81180654,344.0272043,18.28783448
HAW-B-5,Haweswater,Bracken,mp20250313_13,13/03/2025,12:47,UNK,6.774,2.216605902,37.45313644,2.186377451,37.31257864,0.148105209,2.527554077,21.86377451,373.1257864,17.06593645
HAW-B-6,Haweswater,Bracken,mp20250313_14,13/03/2025,12:52,UNK,6.29,1.274720907,23.30387497,1.254485814,23.20190541,0.078907158,1.459399851,12.54485814,232.0190541,18.49515168
HAW-B-7,Haweswater,Bracken,mp20250313_15,13/03/2025,12:57,UNK,6.619,1.410637379,23.33265686,1.385103658,23.21604996,0.091680011,1.536670347,13.85103658,232.1604996,16.76123648
HAW-B-8,Haweswater,Bracken,mp20250313_16,13/03/2025,13:02,UNK,10.643,1.093144894,14.28792667,1.070934968,14.20764502,0.113979609,1.51211966,10.70934968,142.0764502,13.26658055
HAW-B-9,Haweswater,Bracken,mp20250313_17,13/03/2025,13:06,UNK,6.073,2.40649724,38.2244873,2.352293199,37.98599791,0.142854766,2.306889653,23.52293199,379.8599791,16.14849625
HAW-B-10,Haweswater,Bracken,mp20250313_18,13/03/2025,13:11,UNK,9.749,1.013076067,13.82049274,0.988031951,13.72569955,0.096323235,1.338118449,9.880319508,137.2569955,13.8919592
HAW-H-1,Haweswater,Heath,mp20250313_22,13/03/2025,13:30,UNK,6.597,1.796937227,45.57995987,1.743079275,45.19159788,0.11499094,2.981289712,17.43079275,451.9159788,25.92630096
HAW-H-2,Haweswater,Heath,mp20250313_23,13/03/2025,13:35,UNK,6.566,1.464125991,45.61325455,1.418946263,45.20525095,0.093168012,2.968176777,14.18946263,452.0525095,31.85832482
HAW-H-3,Haweswater,Heath,mp20250313_24,13/03/2025,13:40,UNK,7.977,1.092720509,34.72424316,1.058035485,34.3989193,0.084399491,2.744001793,10.58035485,343.989193,32.51206579
HAW-H-4,Haweswater,Heath,mp20250313_25,13/03/2025,13:44,UNK,8.019,0.927277148,23.56002235,0.897025268,23.32931509,0.071932456,1.870777777,8.970252677,233.2931509,26.00742246
HAW-H-5,Haweswater,Heath,mp20250313_26,13/03/2025,13:49,UNK,6.528,1.514901519,36.14942551,1.464144284,35.78013698,0.095579339,2.335727342,14.64144284,357.8013698,24.43757584
HAW-H-6,Haweswater,Heath,mp20250313_27,13/03/2025,13:54,UNK,6.21,1.479647279,45.74494171,1.428770205,45.25828709,0.08872663,2.810539628,14.28770205,452.5828709,31.6763934
HAW-H-7,Haweswater,Heath,mp20250313_28,13/03/2025,13:59,UNK,7.465,1.829209685,39.82756424,1.764707624,39.38703427,0.131735424,2.940242108,17.64707624,393.8703427,22.31929739
HAW-H-8,Haweswater,Heath,mp20250313_29,13/03/2025,14:03,UNK,8.088,1.351908803,42.20592117,1.303053062,41.72126837,0.105390932,3.374416186,13.03053062,417.2126837,32.01808858
HAW-H-9,Haweswater,Heath,mp20250313_30,13/03/2025,14:08,UNK,7.25,1.385109663,39.54823685,1.333842821,39.07741901,0.096703605,2.833112878,13.33842821,390.7741901,29.29686946
HAW-H-10,Haweswater,Heath,mp20250313_31,13/03/2025,14:13,UNK,6.438,2.020554543,44.02849579,1.944004207,43.4857876,0.125154991,2.799615006,19.44004207,434.857876,22.3691839
WHI-B-1,Whiteside,Bracken,mp20250313_35,13/03/2025,14:32,UNK,13.112,0.841723859,11.06296158,0.80787564,10.91675874,0.105928654,1.431405406,8.078756403,109.1675874,13.51291981
WHI-B-2,Whiteside,Bracken,mp20250313_36,13/03/2025,14:36,UNK,10.948,0.776850224,9.612038612,0.745155922,9.484554575,0.08157967,1.038369035,7.451559216,94.84554575,12.72828183
WHI-B-3,Whiteside,Bracken,mp20250313_37,13/03/2025,14:41,UNK,14.675,0.884067059,12.01288795,0.847481584,11.85299238,0.124367923,1.739426631,8.474815844,118.5299238,13.98613563
WHI-B-4,Whiteside,Bracken,mp20250313_38,13/03/2025,14:46,UNK,12.97,0.832292557,14.15841293,0.797363625,13.96928758,0.103418062,1.811816599,7.973636245,139.6928758,17.51934394
WHI-B-5,Whiteside,Bracken,mp20250313_39,13/03/2025,14:51,UNK,13.69,1.279036403,20.89557457,1.224612713,20.61546382,0.16764948,2.822256997,12.24612713,206.1546382,16.83427226
WHI-B-6,Whiteside,Bracken,mp20250313_40,13/03/2025,14:55,UNK,14.08,0.997135639,17.17853355,0.954126118,16.9474377,0.134340957,2.386199228,9.541261183,169.474377,17.76226159
WHI-B-7,Whiteside,Bracken,mp20250313_41,13/03/2025,15:00,UNK,15.514,0.896896541,12.78430176,0.857688778,12.61171289,0.133061837,1.956581137,8.576887782,126.1171289,14.70429975
WHI-B-8,Whiteside,Bracken,mp20250313_42,13/03/2025,15:05,UNK,12.688,0.9524616,12.49488068,0.910271223,12.32560714,0.115495213,1.563873034,9.102712226,123.2560714,13.5405875
WHI-B-9,Whiteside,Bracken,mp20250313_43,13/03/2025,15:10,UNK,14.332,0.749414265,11.36824799,0.715783128,11.21369819,0.102586038,1.607147225,7.157831278,112.1369819,15.66633489
WHI-B-10,Whiteside,Bracken,mp20250313_44,13/03/2025,15:14,UNK,13.161,0.940188229,13.70761681,0.897450716,13.52061487,0.118113489,1.779448123,8.974507158,135.2061487,15.06557924
WHI-H-1,Whiteside,Heath,mp20250313_48,13/03/2025,15:33,UNK,12.342,0.779032052,15.01652622,0.742068691,14.81158766,0.091586118,1.828046149,7.420686905,148.1158766,19.95986066
WHI-H-2,Whiteside,Heath,mp20250313_49,13/03/2025,15:38,UNK,10.59,0.904912233,14.26873302,0.861222774,14.07527686,0.091203492,1.49057182,8.61222774,140.7527686,16.34336351
WHI-H-3,Whiteside,Heath,mp20250313_50,13/03/2025,15:43,UNK,10.549,0.868131816,22.98913383,0.825496537,22.67950286,0.08708163,2.392460757,8.254965375,226.7950286,27.47377103
WHI-H-4,Whiteside,Heath,mp20250313_51,13/03/2025,15:48,UNK,12.201,0.615633607,13.64345455,0.584888148,13.46091782,0.071362203,1.642366583,5.848881478,134.6091782,23.01451632
WHI-H-5,Whiteside,Heath,mp20250313_52,13/03/2025,15:52,UNK,14.333,0.721487403,17.03984451,0.684857954,16.81339201,0.098160691,2.409863476,6.848579543,168.1339201,24.5501887
WHI-H-6,Whiteside,Heath,mp20250313_53,13/03/2025,15:57,UNK,9.423,0.804345846,18.14662933,0.762844698,17.90709357,0.071882856,1.687385427,7.628446984,179.0709357,23.47410109
WHI-H-7,Whiteside,Heath,mp20250313_54,13/03/2025,16:02,UNK,11.147,0.887819529,17.78262329,0.841278717,17.54948455,0.093777339,1.956241042,8.412787171,175.4948455,20.86048796
WHI-H-8,Whiteside,Heath,mp20250313_55,13/03/2025,16:07,UNK,12.976,0.760845065,12.13260269,0.720333527,11.97462437,0.093470478,1.553827258,7.203335267,119.7462437,16.6237221
WHI-H-9,Whiteside,Heath,mp20250313_56,13/03/2025,16:11,UNK,8.806,0.775316298,17.29581833,0.733396554,17.07216012,0.064582901,1.50337442,7.333965543,170.7216012,23.27821152
WHI-H-10,Whiteside,Heath,mp20250313_57,13/03/2025,16:16,UNK,9.86,0.750799835,10.82044697,0.709589202,10.68149272,0.069965495,1.053195182,7.095892018,106.8149272,15.05306548
